Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Gender,Age,Tenure,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
1,1,,,1,,,1333.802857,,,0,,,F,51,7,1678.946429,1318.698214,25,23,1891.353214,1335.619643,250,283.0892857,247.6071429,50,30,3,12,9,1,0,0,26.97267857,0,0
2,1,1,,,,,110.7685714,13326.19036,,,,,M,43,152,708.1296429,704.9357143,4,3,386.4428571,386.4428571,307.1428571,38.40714286,35.71428571,6,6,2,2,1,0,0,0,0,0,0
3,1,,1,,,,482.6546429,,107.2517857,,,,M,17,140,1607.149643,1607.149643,4,4,123.75,123.75,0,112.8571429,10.67857143,3,3,0,1,1,,,,,,
4,1,1,,,1,,1599.840714,76.43714286,,,1110.381786,,M,24,153,1872.483571,1822.589643,9,4,3614.7475,3598.950357,714.2857143,526.0375,1963.165357,41,36,6,12,13,,,,,,
5,1,1,,,,,5353.483929,8079.715714,,,,,F,58,200,4372.773929,2964.290357,23,14,5868.460714,4031.925,157.1428571,832.175,1779.571429,44,41,4,17,13,,,,,,
6,1,,,,,1,4.297142857,,,,,1982.071071,F,24,19,501.1314286,448.4292857,3,2,436.2857143,429.6785714,357.1428571,0,0,8,6,1,0,0,0,0,0,0,0,0
7,1,,,,,,879.685,,,,,,F,55,227,387.5046429,387.5046429,2,2,99.04392857,99.04392857,17.85714286,69.15107143,10.71428571,10,10,1,6,1,,,,,,
8,1,,,1,,,0,,,326.9692857,,,F,64,30,649.1992857,458.6085714,25,21,654.8242857,455.0371429,253.5714286,6.982142857,0,42,24,10,1,0,0,0,0,0,0,0
9,1,,,1,,,510.1664286,,,0,,,F,33,182,527.175,379.7910714,6,4,415.4607143,375.7053571,53.57142857,0,170.7142857,10,7,1,0,3,,,,,,
10,1,1,,,,,253.4589286,116.7092857,,,,,F,29,48,0.024642857,0,1,0,0.892857143,0.892857143,0,0,0,1,1,0,0,0,,,,,,
11,1,1,,,,,709.9025,5.590357143,,,,,M,30,40,451.8478571,449.3960714,3,2,412.8928571,412.8928571,410.7142857,0,0,5,5,3,0,0,,,,,,
12,1,,,,,,1075.475,,,,,,M,45,155,466.8003571,466.8003571,3,3,770.2510714,770.2510714,285.7142857,393.6082143,87.53571429,19,19,1,13,4,,,,,,
13,1,1,,,,1,353.8396429,5.8325,,,,3458.295714,F,66,132,1201.107143,1095.644643,6,3,1232.796429,1158.367857,339.2857143,173.4321429,312.5357143,41,39,6,17,10,0,0,0,0,0,0
14,1,1,2,,1,1,23.34464286,403.6592857,13184.9225,,53.13214286,17062.32429,F,38,95,4358.740714,3567.309286,13,7,2385.786786,1986.292857,625,399.4939286,383.5357143,46,21,5,25,10,0,0,0,0,0,0
15,1,,,,,,1.545357143,,,,,,M,26,174,47.4375,47.4375,2,2,20.80357143,20.80357143,0,17.41071429,0,2,2,0,1,0,0,0,0,0,0,0
16,1,1,2,,,,10015.92464,31.65857143,68246.335,,,,M,46,149,394.7125,385.755,3,2,538.8714286,538.8714286,0,59.26428571,479.6071429,11,11,0,1,10,,,,,,
17,1,,,,,,338.7764286,,,,,,F,64,150,1309.474643,1309.474643,4,4,5000.515357,5000.515357,803.5714286,168.9260714,4023.767857,33,33,5,7,20,0,0,0,0,0,0
18,1,,,,1,,935.9632143,,,,1016.2925,,M,25,41,2585.357143,2390.907143,8,2,1869.477857,1274.149643,703.5714286,712.6075,266.4285714,44,24,6,22,7,,,,,,
19,1,1,,,,,26118.09857,71661.59286,,,,,F,46,94,812.49,812.4714286,3,2,148.4467857,148.4467857,0,0,144.1253571,5,5,0,0,4,,,,,,
20,1,1,,,,,2194.472143,18302.0625,,,,,M,27,181,452.6175,451.55,4,3,221.4285714,221.4285714,107.1428571,10.71428571,103.5714286,7,7,3,1,3,0,1,0,0,3.8225,0
21,1,1,,,,,434.7425,173499.8629,,,,,F,24,60,409.8507143,409.3003571,3,2,505.6535714,505.6535714,178.5714286,259.1892857,64.28571429,22,22,4,14,3,0,1,0,0,3.607142857,0
